"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"21","AAPL220708C00130000","REGULAR","USD",2022-07-08,130,9.27,2.2700005,32.428577,8.6,9.45,597,10522,2022-07-01 15:59:22,0.460942890625,TRUE
"22","AAPL220708C00131000","REGULAR","USD",2022-07-08,131,8.25,2.0500002,33.06452,7.5,8.45,75,191,2022-07-01 15:59:28,0.423345610351562,TRUE
"23","AAPL220708C00132000","REGULAR","USD",2022-07-08,132,7.35,1.6999998,30.08849,7,7.75,428,412,2022-07-01 15:58:20,0.453618745117187,TRUE
"24","AAPL220708C00133000","REGULAR","USD",2022-07-08,133,6.5,1.4499998,28.712866,5.4,7.05,307,432,2022-07-01 15:58:55,0.469243588867188,TRUE
"25","AAPL220708C00134000","REGULAR","USD",2022-07-08,134,5.75,1.6500001,40.243904,5.5,6.3,413,1193,2022-07-01 15:59:49,0.467046345214844,TRUE
"26","AAPL220708C00135000","REGULAR","USD",2022-07-08,135,4.95,1.1999998,31.999996,4.7,5.05,2490,11419,2022-07-01 15:59:49,0.375494526367187,TRUE
"27","AAPL220708C00136000","REGULAR","USD",2022-07-08,136,4.15,1.1500001,38.333336,4,4.25,7303,2610,2022-07-01 15:59:34,0.358160715332031,TRUE
"28","AAPL220708C00137000","REGULAR","USD",2022-07-08,137,3.5,0.80999994,30.11152,3.3,3.55,13107,2327,2022-07-01 15:59:56,0.349371740722656,TRUE
"29","AAPL220708C00138000","REGULAR","USD",2022-07-08,138,2.85,0.55999994,24.454147,2.65,2.85,13953,3194,2022-07-01 15:59:58,0.332526206054688,TRUE
"30","AAPL220708C00139000","REGULAR","USD",2022-07-08,139,2.18,0.44000006,25.28736,2.09,2.25,9868,3284,2022-07-01 15:59:58,0.321539987792969,FALSE
"31","AAPL220708C00140000","REGULAR","USD",2022-07-08,140,1.65,0.23000002,16.197186,1.66,1.71,28330,10740,2022-07-01 15:59:58,0.308844802246094,FALSE
"32","AAPL220708C00141000","REGULAR","USD",2022-07-08,141,1.23,0.18000007,17.142864,1.22,1.27,7812,3763,2022-07-01 15:59:58,0.300055827636719,FALSE
"33","AAPL220708C00142000","REGULAR","USD",2022-07-08,142,0.9,0.099999964,12.499995,0.87,0.91,6688,3928,2022-07-01 15:59:57,0.291999267578125,FALSE
"34","AAPL220708C00143000","REGULAR","USD",2022-07-08,143,0.61,0.08000004,15.094349,0.59,0.63,11274,3979,2022-07-01 15:59:58,0.2851633984375,FALSE
"35","AAPL220708C00144000","REGULAR","USD",2022-07-08,144,0.4,-0.060000002,-13.043478,0.39,0.41,4139,3410,2022-07-01 15:59:58,0.276862700195312,FALSE
"36","AAPL220708C00145000","REGULAR","USD",2022-07-08,145,0.28,-0.050000012,-15.151519,0.27,0.28,12154,11031,2022-07-01 15:59:58,0.276862700195312,FALSE
"37","AAPL220708C00146000","REGULAR","USD",2022-07-08,146,0.18,-0.03999999,-18.181814,0.16,0.18,1587,2166,2022-07-01 15:59:32,0.274421318359375,FALSE
"38","AAPL220708C00147000","REGULAR","USD",2022-07-08,147,0.12,-0.06000001,-33.333336,0.1,0.12,7331,2549,2022-07-01 15:59:41,0.276374423828125,FALSE
"39","AAPL220708C00148000","REGULAR","USD",2022-07-08,148,0.08,-0.049999997,-38.461536,0.07,0.08,4567,4161,2022-07-01 15:59:55,0.27930408203125,FALSE
"40","AAPL220708C00149000","REGULAR","USD",2022-07-08,149,0.06,-0.02,-25,0.05,0.07,702,2020,2022-07-01 15:59:17,0.29688203125,FALSE
"41","AAPL220708C00150000","REGULAR","USD",2022-07-08,150,0.05,-0.029999997,-37.499996,0.04,0.05,6773,10774,2022-07-01 15:59:33,0.30274134765625,FALSE
"42","AAPL220708C00152500","REGULAR","USD",2022-07-08,152.5,0.03,-0.01,-25,0.02,0.04,1791,1853,2022-07-01 15:46:39,0.3437565625,FALSE
"43","AAPL220708C00155000","REGULAR","USD",2022-07-08,155,0.02,-0.01,-33.333336,0.01,0.02,1088,4416,2022-07-01 15:59:33,0.35938140625,FALSE
"44","AAPL220708C00157500","REGULAR","USD",2022-07-08,157.5,0.01,-0.01,-50,0.01,0.03,418,440,2022-07-01 15:59:54,0.4257869921875,FALSE
"45","AAPL220708C00160000","REGULAR","USD",2022-07-08,160,0.01,-0.01,-50,0,0.01,317,5526,2022-07-01 15:55:32,0.414068359375,FALSE
"46","AAPL220708C00165000","REGULAR","USD",2022-07-08,165,0.01,0,0,0,0.02,68,2633,2022-07-01 15:27:05,0.500005,FALSE
"47","AAPL220708C00170000","REGULAR","USD",2022-07-08,170,0.01,0,0,0,0.01,1,898,2022-06-30 14:35:34,0.5312546875,FALSE
"48","AAPL220708C00175000","REGULAR","USD",2022-07-08,175,0.01,0,0,0,0.01,1,340,2022-06-30 14:11:21,0.5937540625,FALSE
"49","AAPL220708C00180000","REGULAR","USD",2022-07-08,180,0.01,0,0,0,0.01,1,8388,2022-06-30 14:10:17,0.67187828125,FALSE
"50","AAPL220708C00185000","REGULAR","USD",2022-07-08,185,0.01,0,0,0,0.01,5,2127,2022-06-28 09:32:36,0.73437765625,FALSE
"51","AAPL220708C00190000","REGULAR","USD",2022-07-08,190,0.01,0,0,0,0.01,1,441,2022-06-28 14:49:19,0.79687703125,FALSE
"52","AAPL220708C00195000","REGULAR","USD",2022-07-08,195,0.01,0,0,0,0.01,40,201,2022-06-27 10:41:53,0.8437515625,FALSE
"53","AAPL220708C00200000","REGULAR","USD",2022-07-08,200,0.01,0,0,0,0.01,1,106,2022-06-28 14:54:53,0.9062509375,FALSE
"54","AAPL220708C00205000","REGULAR","USD",2022-07-08,205,0.02,0,0,0,0.01,1,1,2022-06-03 09:38:47,0.9687503125,FALSE
"55","AAPL220708C00210000","REGULAR","USD",2022-07-08,210,0.01,0,0,0,0.01,1,3,2022-06-27 15:34:40,1.03125484375,FALSE
"56","AAPL220708C00215000","REGULAR","USD",2022-07-08,215,0.03,0,0,0,0.01,NA,1,2022-06-06 15:04:28,1.0625046875,FALSE
"57","AAPL220708C00230000","REGULAR","USD",2022-07-08,230,0.02,0,0,0,0.01,1,131,2022-06-06 13:46:12,1.21875390625,FALSE
"58","AAPL220708C00250000","REGULAR","USD",2022-07-08,250,0.01,0,0,0,0.01,1,6,2022-06-29 09:30:02,1.40625296875,FALSE
"59","AAPL220715C00050000","REGULAR","USD",2022-07-15,50,89.15,0,0,88.5,89.45,2,9,2022-06-28 12:29:16,2.07031732421875,TRUE
"60","AAPL220715C00055000","REGULAR","USD",2022-07-15,55,83.45,0,0,76.1,77,1,1,2022-05-20 09:35:29,1e-05,TRUE
"61","AAPL220715C00060000","REGULAR","USD",2022-07-15,60,77.5,0,0,78.5,79.45,1,1,2022-06-23 14:32:01,1.71875140625,TRUE
"62","AAPL220715C00065000","REGULAR","USD",2022-07-15,65,82.2,0,0,73.35,74.65,23,84,2022-06-09 10:01:42,1.6484392578125,TRUE
"63","AAPL220715C00070000","REGULAR","USD",2022-07-15,70,77.75,0,0,68.5,69.6,4,17,2022-06-07 13:01:57,1.60351760742187,TRUE
"64","AAPL220715C00075000","REGULAR","USD",2022-07-15,75,67.35,0,0,63.5,64.5,14,88,2022-06-27 13:02:17,1.359378203125,TRUE
"65","AAPL220715C00080000","REGULAR","USD",2022-07-15,80,58.8,2.9199982,5.22548,58.6,59.55,150,80,2022-07-01 15:57:14,1.3515657421875,TRUE
"66","AAPL220715C00085000","REGULAR","USD",2022-07-15,85,53.55,-0.42000198,-0.7782138,53.4,54.6,30,91,2022-07-01 15:54:40,1.10547322265625,TRUE
"67","AAPL220715C00090000","REGULAR","USD",2022-07-15,90,46.42,-1.6300011,-3.3923018,48.5,49.55,78,454,2022-07-01 11:53:52,1.02734861328125,TRUE
"68","AAPL220715C00095000","REGULAR","USD",2022-07-15,95,42.58,0,0,43.55,44.6,12,144,2022-06-23 11:49:52,0.97070341796875,TRUE
"69","AAPL220715C00100000","REGULAR","USD",2022-07-15,100,39,2.5099983,6.878592,38.35,39.8,37,353,2022-07-01 15:58:52,0.85351708984375,TRUE
"70","AAPL220715C00105000","REGULAR","USD",2022-07-15,105,37.93,0,0,33.55,34.6,1,766,2022-06-27 12:10:03,0.742190078125,TRUE
"71","AAPL220715C00110000","REGULAR","USD",2022-07-15,110,29,2.4500008,9.227875,28.5,29.6,5,712,2022-07-01 15:58:22,0.617191328125,TRUE
"72","AAPL220715C00115000","REGULAR","USD",2022-07-15,115,22.31,0,0,23.65,24.6,16,758,2022-06-30 13:14:20,0.559574716796875,TRUE
"73","AAPL220715C00120000","REGULAR","USD",2022-07-15,120,18.31,0.15999985,0.8815419,18.5,19.7,6,1108,2022-07-01 15:04:58,0.622074091796875,TRUE
"74","AAPL220715C00121000","REGULAR","USD",2022-07-15,121,16.85,0,0,17.55,18.7,2,11,2022-06-30 12:24:03,0.59570716796875,TRUE
"75","AAPL220715C00122000","REGULAR","USD",2022-07-15,122,16.3,0,0,16.75,17.7,23,77,2022-06-30 12:52:34,0.569340244140625,TRUE
"76","AAPL220715C00123000","REGULAR","USD",2022-07-15,123,14.55,0,0,15.75,16.75,64,128,2022-06-30 15:30:03,0.553227124023438,TRUE
"77","AAPL220715C00124000","REGULAR","USD",2022-07-15,124,15.1,0.9000006,6.3380322,14.55,15.85,42,137,2022-07-01 15:54:50,0.545658840332031,TRUE
"78","AAPL220715C00125000","REGULAR","USD",2022-07-15,125,14.3,1.5299997,11.981203,13.6,14.9,158,1873,2022-07-01 15:55:31,0.5273484765625,TRUE
"79","AAPL220715C00126000","REGULAR","USD",2022-07-15,126,13.25,0.8500004,6.8548417,12.95,13.7,111,248,2022-07-01 15:54:50,0.463872548828125,TRUE
"80","AAPL220715C00127000","REGULAR","USD",2022-07-15,127,12.15,0.25,2.1008403,12.05,13.05,18,364,2022-07-01 14:47:51,0.4960987890625,TRUE
"81","AAPL220715C00128000","REGULAR","USD",2022-07-15,128,11.7,2.0999994,21.874992,11.05,11.95,159,563,2022-07-01 15:59:28,0.451909777832031,TRUE
"82","AAPL220715C00129000","REGULAR","USD",2022-07-15,129,10.7,1.3499994,14.438497,10.4,11.2,137,655,2022-07-01 15:57:57,0.460210476074219,TRUE
"83","AAPL220715C00130000","REGULAR","USD",2022-07-15,130,10,1.8000002,21.951221,8.7,10.2,417,7907,2022-07-01 15:58:28,0.430181479492188,TRUE
"84","AAPL220715C00131000","REGULAR","USD",2022-07-15,131,9.15,1.8499994,25.342459,9.05,9.45,246,5672,2022-07-01 15:59:42,0.432378723144531,TRUE
"85","AAPL220715C00132000","REGULAR","USD",2022-07-15,132,8.35,1.3500004,19.285719,7.85,8.5,148,946,2022-07-01 15:58:51,0.406744213867188,TRUE
"86","AAPL220715C00133000","REGULAR","USD",2022-07-15,133,7.55,1.69,28.839592,7.4,7.7,417,673,2022-07-01 15:59:28,0.397222824707031,TRUE
"87","AAPL220715C00134000","REGULAR","USD",2022-07-15,134,6.8,1.0500002,18.260872,6.55,6.95,453,2751,2022-07-01 15:48:02,0.39063109375,TRUE
"88","AAPL220715C00135000","REGULAR","USD",2022-07-15,135,6.12,1.1199999,22.399998,5.9,6.1,1770,36664,2022-07-01 15:59:51,0.370367624511719,TRUE
"89","AAPL220715C00136000","REGULAR","USD",2022-07-15,136,5.32,0.9200001,20.909092,5.2,5.45,1826,3111,2022-07-01 15:58:29,0.367926242675781,TRUE
"90","AAPL220715C00137000","REGULAR","USD",2022-07-15,137,4.7,0.99999976,27.02702,4.55,4.8,2719,3664,2022-07-01 15:59:21,0.361700718994141,TRUE
"91","AAPL220715C00138000","REGULAR","USD",2022-07-15,138,4.2,0.8499999,25.37313,3.95,4.2,3492,3152,2022-07-01 15:59:58,0.356451748046875,TRUE
"92","AAPL220715C00139000","REGULAR","USD",2022-07-15,139,3.4,0.70000005,25.925928,3.4,3.6,2481,2193,2022-07-01 15:59:57,0.347418635253906,FALSE
"93","AAPL220715C00140000","REGULAR","USD",2022-07-15,140,2.94,0.49,20,2.95,3,7711,37952,2022-07-01 15:59:58,0.334235173339844,FALSE
"94","AAPL220715C00141000","REGULAR","USD",2022-07-15,141,2.5,0.3399999,15.740736,2.46,2.51,3293,3317,2022-07-01 15:59:37,0.327155166015625,FALSE
"95","AAPL220715C00142000","REGULAR","USD",2022-07-15,142,2.06,0.39,23.353294,2.03,2.08,3304,4630,2022-07-01 15:59:03,0.321295849609375,FALSE
"96","AAPL220715C00143000","REGULAR","USD",2022-07-15,143,1.71,0.39,29.545454,1.65,1.69,1143,3782,2022-07-01 15:59:56,0.31445998046875,FALSE
"97","AAPL220715C00144000","REGULAR","USD",2022-07-15,144,1.34,0.25,22.93578,1.32,1.37,1333,5657,2022-07-01 15:59:41,0.310309631347656,FALSE
"98","AAPL220715C00145000","REGULAR","USD",2022-07-15,145,1.08,0.110000014,11.340208,1.04,1.09,17789,98441,2022-07-01 15:59:55,0.305671005859375,FALSE
"99","AAPL220715C00150000","REGULAR","USD",2022-07-15,150,0.3,-0.030000001,-9.090909,0.28,0.3,6306,43053,2022-07-01 15:59:49,0.292487543945312,FALSE
"100","AAPL220715C00152500","REGULAR","USD",2022-07-15,152.5,0.17,-0.019999996,-10.526314,0.14,0.16,640,5736,2022-07-01 15:59:20,0.295905478515625,FALSE
"101","AAPL220715C00155000","REGULAR","USD",2022-07-15,155,0.1,-0.009999998,-9.090907,0.08,0.1,925,25933,2022-07-01 15:59:34,0.3086006640625,FALSE
"102","AAPL220715C00157500","REGULAR","USD",2022-07-15,157.5,0.05,-0.029999997,-37.499996,0.05,0.07,235,3372,2022-07-01 15:52:45,0.32617861328125,FALSE
"103","AAPL220715C00160000","REGULAR","USD",2022-07-15,160,0.05,-0.009999998,-16.666664,0.04,0.05,502,31148,2022-07-01 15:59:29,0.3437565625,FALSE
"104","AAPL220715C00165000","REGULAR","USD",2022-07-15,165,0.02,-0.01,-33.333336,0.02,0.03,199,24732,2022-07-01 15:45:45,0.3789124609375,FALSE
"105","AAPL220715C00170000","REGULAR","USD",2022-07-15,170,0.02,0,0,0.01,0.02,193,20159,2022-07-01 15:58:54,0.4179745703125,FALSE
"106","AAPL220715C00175000","REGULAR","USD",2022-07-15,175,0.02,0.01,100,0.01,0.02,95,28860,2022-07-01 15:57:56,0.4687553125,FALSE
"107","AAPL220715C00180000","REGULAR","USD",2022-07-15,180,0.01,0,0,0.01,0.02,28,22171,2022-07-01 15:29:10,0.507817421875,FALSE
"108","AAPL220715C00185000","REGULAR","USD",2022-07-15,185,0.01,0,0,0,0.02,3092,13819,2022-07-01 14:43:12,0.5312546875,FALSE
"109","AAPL220715C00190000","REGULAR","USD",2022-07-15,190,0.01,0,0,0,0.01,2,10491,2022-07-01 15:25:45,0.5312546875,FALSE
"110","AAPL220715C00195000","REGULAR","USD",2022-07-15,195,0.01,0,0,0,0.01,6,5111,2022-06-30 13:01:16,0.57812921875,FALSE
"111","AAPL220715C00200000","REGULAR","USD",2022-07-15,200,0.01,0,0,0,0.01,3,13314,2022-07-01 10:48:00,0.62500375,FALSE
"112","AAPL220715C00205000","REGULAR","USD",2022-07-15,205,0.01,0,0,0,0.01,18,4867,2022-06-29 12:07:42,0.6562534375,FALSE
"113","AAPL220715C00210000","REGULAR","USD",2022-07-15,210,0.01,0,0,0,0.01,2,6152,2022-06-30 10:17:18,0.687503125,FALSE
"114","AAPL220715C00215000","REGULAR","USD",2022-07-15,215,0.01,0,0,0,0.01,1,1487,2022-06-27 11:37:13,0.7187528125,FALSE
"115","AAPL220715C00220000","REGULAR","USD",2022-07-15,220,0.01,0,0,0,0.01,2,1696,2022-06-30 11:20:41,0.76562734375,FALSE
"116","AAPL220715C00225000","REGULAR","USD",2022-07-15,225,0.01,0,0,0,0.01,28,1222,2022-06-24 10:19:33,0.79687703125,FALSE
"117","AAPL220715C00230000","REGULAR","USD",2022-07-15,230,0.01,0,0,0,0.01,24,1327,2022-06-24 10:19:31,0.8437515625,FALSE
"118","AAPL220715C00235000","REGULAR","USD",2022-07-15,235,0.01,0,0,0,0.01,20,1043,2022-06-24 09:41:05,0.87500125,FALSE
"119","AAPL220715C00240000","REGULAR","USD",2022-07-15,240,0.01,0,0,0,0.01,1,3755,2022-06-17 09:30:22,0.9062509375,FALSE
"120","AAPL220715C00245000","REGULAR","USD",2022-07-15,245,0.01,0,0,0,0.01,1,2649,2022-06-16 09:30:10,0.937500625,FALSE
"121","AAPL220715C00250000","REGULAR","USD",2022-07-15,250,0.01,-0.01,-50,0,0.01,1,2277,2022-07-01 14:54:36,0.9687503125,FALSE
"122","AAPL220715C00260000","REGULAR","USD",2022-07-15,260,0.01,0,0,0,0.01,12,970,2022-06-29 09:30:11,1.000005,FALSE
"123","AAPL220715C00270000","REGULAR","USD",2022-07-15,270,0.01,0,0,0,0.01,40,480,2022-06-27 10:26:29,1.0625046875,FALSE
"124","AAPL220715C00280000","REGULAR","USD",2022-07-15,280,0.01,0,0,0,0.01,10,1012,2022-06-02 09:30:13,1.125004375,FALSE
"125","AAPL220715C00290000","REGULAR","USD",2022-07-15,290,0.01,0,0,0,0.03,1,1483,2022-05-13 09:51:51,1.28125359375,FALSE
"126","AAPL220715C00300000","REGULAR","USD",2022-07-15,300,0.01,0,0,0,0.01,1,8569,2022-06-15 09:30:05,1.21875390625,FALSE
"127","AAPL220715C00050000","REGULAR","USD",2022-07-15,50,89.15,0,0,88.5,89.45,2,9,2022-06-28 12:29:16,2.07031732421875,TRUE
"128","AAPL220715C00055000","REGULAR","USD",2022-07-15,55,83.45,0,0,76.1,77,1,1,2022-05-20 09:35:29,1e-05,TRUE
"129","AAPL220715C00060000","REGULAR","USD",2022-07-15,60,77.5,0,0,78.5,79.45,1,1,2022-06-23 14:32:01,1.71875140625,TRUE
"130","AAPL220715C00065000","REGULAR","USD",2022-07-15,65,82.2,0,0,73.35,74.65,23,84,2022-06-09 10:01:42,1.6484392578125,TRUE
"131","AAPL220715C00070000","REGULAR","USD",2022-07-15,70,77.75,0,0,68.5,69.6,4,17,2022-06-07 13:01:57,1.60351760742187,TRUE
"132","AAPL220715C00075000","REGULAR","USD",2022-07-15,75,67.35,0,0,63.5,64.5,14,88,2022-06-27 13:02:17,1.359378203125,TRUE
"133","AAPL220715C00080000","REGULAR","USD",2022-07-15,80,58.8,2.9199982,5.22548,58.6,59.55,150,80,2022-07-01 15:57:14,1.3515657421875,TRUE
"134","AAPL220715C00085000","REGULAR","USD",2022-07-15,85,53.55,-0.42000198,-0.7782138,53.4,54.6,30,91,2022-07-01 15:54:40,1.10547322265625,TRUE
"135","AAPL220715C00090000","REGULAR","USD",2022-07-15,90,46.42,-1.6300011,-3.3923018,48.5,49.55,78,454,2022-07-01 11:53:52,1.02734861328125,TRUE
"136","AAPL220715C00095000","REGULAR","USD",2022-07-15,95,42.58,0,0,43.55,44.6,12,144,2022-06-23 11:49:52,0.97070341796875,TRUE
"137","AAPL220715C00100000","REGULAR","USD",2022-07-15,100,39,2.5099983,6.878592,38.35,39.8,37,353,2022-07-01 15:58:52,0.85351708984375,TRUE
"138","AAPL220715C00105000","REGULAR","USD",2022-07-15,105,37.93,0,0,33.55,34.6,1,766,2022-06-27 12:10:03,0.742190078125,TRUE
"139","AAPL220715C00110000","REGULAR","USD",2022-07-15,110,29,2.4500008,9.227875,28.5,29.6,5,712,2022-07-01 15:58:22,0.617191328125,TRUE
"140","AAPL220715C00115000","REGULAR","USD",2022-07-15,115,22.31,0,0,23.65,24.6,16,758,2022-06-30 13:14:20,0.559574716796875,TRUE
"141","AAPL220715C00120000","REGULAR","USD",2022-07-15,120,18.31,0.15999985,0.8815419,18.5,19.7,6,1108,2022-07-01 15:04:58,0.622074091796875,TRUE
"142","AAPL220715C00121000","REGULAR","USD",2022-07-15,121,16.85,0,0,17.55,18.7,2,11,2022-06-30 12:24:03,0.59570716796875,TRUE
"143","AAPL220715C00122000","REGULAR","USD",2022-07-15,122,16.3,0,0,16.75,17.7,23,77,2022-06-30 12:52:34,0.569340244140625,TRUE
"144","AAPL220715C00123000","REGULAR","USD",2022-07-15,123,14.55,0,0,15.75,16.75,64,128,2022-06-30 15:30:03,0.553227124023438,TRUE
"145","AAPL220715C00124000","REGULAR","USD",2022-07-15,124,15.1,0.9000006,6.3380322,14.55,15.85,42,137,2022-07-01 15:54:50,0.545658840332031,TRUE
"146","AAPL220715C00125000","REGULAR","USD",2022-07-15,125,14.3,1.5299997,11.981203,13.6,14.9,158,1873,2022-07-01 15:55:31,0.5273484765625,TRUE
"147","AAPL220715C00126000","REGULAR","USD",2022-07-15,126,13.25,0.8500004,6.8548417,12.95,13.7,111,248,2022-07-01 15:54:50,0.463872548828125,TRUE
"148","AAPL220715C00127000","REGULAR","USD",2022-07-15,127,12.15,0.25,2.1008403,12.05,13.05,18,364,2022-07-01 14:47:51,0.4960987890625,TRUE
"149","AAPL220715C00128000","REGULAR","USD",2022-07-15,128,11.7,2.0999994,21.874992,11.05,11.95,159,563,2022-07-01 15:59:28,0.451909777832031,TRUE
"150","AAPL220715C00129000","REGULAR","USD",2022-07-15,129,10.7,1.3499994,14.438497,10.4,11.2,137,655,2022-07-01 15:57:57,0.460210476074219,TRUE
"151","AAPL220715C00130000","REGULAR","USD",2022-07-15,130,10,1.8000002,21.951221,8.7,10.2,417,7907,2022-07-01 15:58:28,0.430181479492188,TRUE
"152","AAPL220715C00131000","REGULAR","USD",2022-07-15,131,9.15,1.8499994,25.342459,9.05,9.45,246,5672,2022-07-01 15:59:42,0.432378723144531,TRUE
"153","AAPL220715C00132000","REGULAR","USD",2022-07-15,132,8.35,1.3500004,19.285719,7.85,8.5,148,946,2022-07-01 15:58:51,0.406744213867188,TRUE
"154","AAPL220715C00133000","REGULAR","USD",2022-07-15,133,7.55,1.69,28.839592,7.4,7.7,417,673,2022-07-01 15:59:28,0.397222824707031,TRUE
"155","AAPL220715C00134000","REGULAR","USD",2022-07-15,134,6.8,1.0500002,18.260872,6.55,6.95,453,2751,2022-07-01 15:48:02,0.39063109375,TRUE
"156","AAPL220715C00135000","REGULAR","USD",2022-07-15,135,6.12,1.1199999,22.399998,5.9,6.1,1770,36664,2022-07-01 15:59:51,0.370367624511719,TRUE
"157","AAPL220715C00136000","REGULAR","USD",2022-07-15,136,5.32,0.9200001,20.909092,5.2,5.45,1826,3111,2022-07-01 15:58:29,0.367926242675781,TRUE
"158","AAPL220715C00137000","REGULAR","USD",2022-07-15,137,4.7,0.99999976,27.02702,4.55,4.8,2719,3664,2022-07-01 15:59:21,0.361700718994141,TRUE
"159","AAPL220715C00138000","REGULAR","USD",2022-07-15,138,4.2,0.8499999,25.37313,3.95,4.2,3492,3152,2022-07-01 15:59:58,0.356451748046875,TRUE
"160","AAPL220715C00139000","REGULAR","USD",2022-07-15,139,3.4,0.70000005,25.925928,3.4,3.6,2481,2193,2022-07-01 15:59:57,0.347418635253906,FALSE
"161","AAPL220715C00140000","REGULAR","USD",2022-07-15,140,2.94,0.49,20,2.95,3,7711,37952,2022-07-01 15:59:58,0.334235173339844,FALSE
"162","AAPL220715C00141000","REGULAR","USD",2022-07-15,141,2.5,0.3399999,15.740736,2.46,2.51,3293,3317,2022-07-01 15:59:37,0.327155166015625,FALSE
"163","AAPL220715C00142000","REGULAR","USD",2022-07-15,142,2.06,0.39,23.353294,2.03,2.08,3304,4630,2022-07-01 15:59:03,0.321295849609375,FALSE
"164","AAPL220715C00143000","REGULAR","USD",2022-07-15,143,1.71,0.39,29.545454,1.65,1.69,1143,3782,2022-07-01 15:59:56,0.31445998046875,FALSE
"165","AAPL220715C00144000","REGULAR","USD",2022-07-15,144,1.34,0.25,22.93578,1.32,1.37,1333,5657,2022-07-01 15:59:41,0.310309631347656,FALSE
"166","AAPL220715C00145000","REGULAR","USD",2022-07-15,145,1.08,0.110000014,11.340208,1.04,1.09,17789,98441,2022-07-01 15:59:55,0.305671005859375,FALSE
"167","AAPL220715C00150000","REGULAR","USD",2022-07-15,150,0.3,-0.030000001,-9.090909,0.28,0.3,6306,43053,2022-07-01 15:59:49,0.292487543945312,FALSE
"168","AAPL220715C00152500","REGULAR","USD",2022-07-15,152.5,0.17,-0.019999996,-10.526314,0.14,0.16,640,5736,2022-07-01 15:59:20,0.295905478515625,FALSE
